,Positive (1); Neutral (2) Negative (3),comment,,
"&acute;&acute; hint: if you ask this here, there is a 99,9% of chance that everyone will say yes. so next time don&acute;t waste your time asking, just buy. nah, joking. but yeah, if you ask here, almost everyone will say yes, so unless you don&acute;t like gta, then why not follow the crownd and get this game? haha yeah. it&acute;s not a 99.9% chance... more like 100% haha... i have yet to see anybody say &acute;no&acute; to getting gta: cw... everybody loves it.",2,,,
"&acute;&acute; i did waste my money on it, but it can be fun, and i play cod2, used to play 4, and americas army, tf2, cs:s and 1.6, hl2dm and fear on pc. i also feel cod5 might be alright, although i disliked 3, and it&acute;s the same guys. conduit will be fun. i&acute;d like to see a counter strike-esque game, something that&acute;s more arcadey and just run &acute;n gun for fun. something simple without complex controls or ironsights. like tf2 or something.",2,,,
"&acute;&acute; i did waste my money on it, but it can be fun, and i play cod2, used to play 4, and americas army, tf2, cs:s and 1.6, hl2dm and fear on pc. i also feel cod5 might be alright, although i disliked 3, and it&acute;s the same guys. conduit will be fun. i&acute;d like to see a counter strike-esque game, something that&acute;s more arcadey and just run &acute;n gun for fun. something simple without complex controls or ironsights. like tf2 or something.",2,,,
"&acute;&acute; its weird cause this is basically me in a nutshell. my name is also chris, but everyone calls me by my last name &acute;nunez&acute;, which i&acute;m sure most tv watchers know, &acute;chris nunez&acute; is one of the guys on &acute;miami ink&acute;. i don&acute;t think i&acute;m related to him. its funny because at work at lot of the people don&acute;t even know my first name. my manager called me to the office one time and someone was like, &acute;who the hell is chris?&acute;",2,,,
"so much ignorance in here. every idiot says, oh its the downfall of humanity and oh all lyrics suck and it&acute;s all about demeaning women. listen to mos def, talib kweli, wu tang, fugees, the roots, a tribe called quest, atmosphere, sage francis, you cannot tell me that these are not intelligent young men. honestly, there are black and death metal fans saying hip hop has bad lyrics. honestly, black metal isn&acute;t even a musical genre, how could you enjoy something so stupid?",3,,,
"[quote=&acute;-big_red-&acute;][quote=&acute;genetic_code&acute;]i don&acute;t think so. okcupid, an online dating site, pulled some statistics from its users and this is what they found. gay people had just as many sex partners as straight people. of course, that only pertains to the users of one online site, as opposed to all homosexuals. that graph looks sketchy. it&acute;s kind of hard to read to be honest. oh wait nevermind i get it now. but i do think that it would be better as two seperate pie charts.",2,,,
"[quote=&acute;dodgerblue13&acute;][quote=&acute;f1_2004&acute;] lol mirko was extremely lucky in that fight, he hit sapp with a punch that happened to break his eye socket. that&acute;s not a normal thing to happen in a fight. sapp didn&acute;t even land a single strike. maybe one side swipe brushed cro cop... sapp didn&acute;t even throw when it was close. either way: he won. my point was that just because you&acute;re bigger doesn&acute;t mean you&acute;ll win. yeah, but sapp is a horrible fighter... worse professional fighter i&acute;ve ever seen.",3,,,
"i wouldnt say it is overrated, if you are &acute;successful&acute; at life you can get whatever you want. ill just say this, just do whatever makes you happy, don&acute;t worry about the next man and dont let anyone tell you how to live your life. @magicalclick said: success is subjective, it doesn&acute;t have to be rich. it doesn&acute;t mean you should waste your money like the rest of the population. it is all about managing your own resources, money, time, effort, love, etc.",1,,,
"yes religion, all religion, is nothin more then a way to control people into bein &acute;good&acute; lawful people, and people buy into religions because no one wants to think about the truth, which is once we die there is nothin, no light at the end of a tunnel, no reunion with all our dead relatives and friends, no eternal bliss, if we were to have eternal bliss when we die then why even be alive? that is probly the biggest hole in religion",3,,,
"i was told they gave me back my fixed system but it was a lie the system they sent me back had a crack, my marking on the back was gone and it had a different numder on it when i looked at the info online showin the systems ive downloaded on, even tho they took the sticker off my old system and put it on to this one, the actual serial number was different on the web when i checked it out",3,,,
"[quote=&acute;harashawn&acute;][quote=&acute;-eddy-&acute;] hell yeah! it&acute;s an awesome game. i&acute;ve played it through once. gotta go for another go or three i&acute;m trying to get the level 6 suit. it&acute;s so expensive. :p i played it on my xbox when it came out. they released a white armour free to download, kind of as a pr thing. it was very powerful so i didn&acute;t really have any need to upgrade to new suits. so yeah, i kind of cheated.. but ea made me to! :p",1,,,
"sorry man, one of my clients dropped off a picture for an award plaque that i&acute;m designing for the baton rouge fire department award banquet... go with the second one, since it&acute;s a 3gbps sata ii drive. just be sure to register it, just in case. i&acute;ve gotta get some sleep now so i can finish this plaque tonight. i&acute;m glad i could help though man. i&acute;ll hang around for a few more minutes, just in case you need something though. good luck",1,,,
